Habitability_Rank,P_NAME,P_RADIUS,P_MASS,P_DENSITY,P_TEMP_SURF,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_LUMINOSITY,S_METALLICITY,Predicted_Habitability_Probability,P_HABITABLE_BINARY
110,Kepler-1593 b,-0.4875363380752943,-0.4344721219586193,-0.5950104669617643,-1.3601464577176328,0.09559843838720948,0.055709561509096124,-0.494911876251187,-0.6984385397700452,0.0274875818792235,0.13617406787107353,0
111,GJ 422 b,-0.4551732348873457,-0.4329774678216836,-0.6393344864133542,-1.3306343279085766,-0.3392673741492312,-0.41298249108974106,-2.332363208361752,-0.7956503198521166,0.0274875818792235,0.12865719643206075,0
112,HD 191939 g,-0.3722427829682274,-0.42880274419782877,-0.7299474140881307,-1.3175767394480538,0.4040144788307315,0.34231205804079884,0.09272432116646481,-0.48001628515724676,-1.0998926716630926,0.12848269280363372,0
113,OGLE-2005-BLG-390L b,-0.6817149572029858,-0.4425466902845937,-0.183853192062355,-0.12523437080561237,3.673799998797402,2.2687980121711915,0.26683875003095425,-0.37323801982520044,0.0274875818792235,0.12718815143072632,0
114,Kepler-1634 b,-0.4834909501768007,-0.4343003226325347,-0.601317098064977,-1.419239054844916,0.6599981225773038,0.6014395032132593,0.15665696301514453,-0.5346514029669848,0.0274875818792235,0.12392684208114219,0
115,Kepler-439 b,-0.6756468753552454,-0.4422889912954669,-0.19873642976172076,-1.211743472671298,0.10582288419092627,0.07402626241525748,0.09816539706848011,-0.515474765619277,0.0274875818792235,0.12293769791750873,0
116,Kepler-1318 b,-0.499672501770775,-0.43507341959991525,-0.5792527703759055,-1.4158850172058774,0.20474476916449857,0.12305037366410146,-1.0349386595262051,-0.7171656973235352,-0.171461874628244,0.12292406186026772,0
117,Kepler-1545 b,-0.5826029536898932,-0.43868120544769107,-0.43532306099398754,-1.216579842324882,0.06512732177419701,0.05377014611903194,-0.21469646729739933,-0.5422195367019041,-0.5030443021406898,0.1227359379087528,0
118,Kepler-1143 c,-0.4005604982576824,-0.43034893813258984,-0.7038841920562899,-1.3993799184693374,0.19734473862871385,0.1652865310477208,-0.41601627567196525,-0.6905722011962728,-0.5030443021406898,0.12057715095505009,0
119,HD 180617 b,-0.41471935590241,-0.43101208353127624,-0.6873566129291332,-1.4890414693031633,-0.0976333790822206,-0.16301339637036122,-2.332363208361752,-0.7956503198521166,-0.37041133113571156,0.11872039825397036,0
